date,cultivar,n_stolon_primary,n_stolon_secondary,n_stolon_tertiary,n_stolon_quaternary,n_dp_alt_primary,n_dp_alt_secondary,n_dp_alt_tertiary,n_dp_alt_quaternary,n_dp_mid_primary,n_dp_mid_secondary,n_dp_mid_tertiary,n_dp_mid_quaternary,n_dp_total_alt,n_dp_total_mid,n_flowers_total,n_flowers_mp,n_flowers_dp,stolon_length_primary_cm,crown_diameter_mm
2025-04-16,Albion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-16,Cabrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-16,Camarosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-16,Chandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-16,Finn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-16,Sensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2025-04-23,Brilliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-23,Moxie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-23,Portola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-23,Radiance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-23,Ruby June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-30,Albion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-30,Cabrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-30,Camarosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-30,Chandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-30,Finn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-04-30,Sensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-07,Brilliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-07,Moxie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-07,Portola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-07,Radiance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-07,Ruby June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-14,Albion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-14,Cabrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-14,Camarosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-14,Chandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-14,Finn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-14,Sensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-21,Brilliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-21,Moxie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-21,Portola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-21,Radiance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-21,Ruby June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-28,Albion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-28,Cabrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-28,Camarosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-28,Chandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-28,Finn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-05-28,Sensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-04,Brilliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-04,Moxie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-04,Portola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-04,Radiance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2025-06-04,Ruby June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
