date,cultivar,rep,n_stolon_primary,n_stolon_secondary,n_stolon_tertiary,n_stolon_quaternary,n_dp_alt_primary,n_dp_alt_secondary,n_dp_alt_tertiary,n_dp_alt_quaternary,n_dp_mid_primary,n_dp_mid_secondary,n_dp_mid_tertiary,n_dp_mid_quaternary,n_dp_total_alt,n_dp_total_mid,n_flowers_total,n_flowers_mp,n_flowers_dp,stolon_length_primary_cm,crown_diameter_mm
2025-04-16,Albion,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,91.6,
2025-04-16,Albion,2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,85.6,
2025-04-16,Albion,3,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,69.0,
2025-04-30,Albion,1,3.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,106.0,
2025-04-30,Albion,2,4.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,7.0,0.0,95.2,
2025-04-30,Albion,3,4.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,4.0,0.0,120.4,
2025-05-14,Albion,1,4.0,5.0,1.0,0.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,122.9,
2025-05-14,Albion,2,5.0,6.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,8.0,8.0,0.0,122.05,
2025-05-14,Albion,3,4.0,9.0,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,8.0,8.0,0.0,131.025,
2025-05-28,Albion,1,4.0,8.0,1.0,0.0,11.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,2.0,2.0,0.0,150.675,
2025-05-28,Albion,2,7.0,8.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,150.3,
2025-05-28,Albion,3,6.0,13.0,1.0,0.0,13.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,151.54,
2025-06-11,Albion,1,4.0,8.0,2.0,0.0,14.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,190.4,
2025-06-11,Albion,2,8.0,13.0,1.0,0.0,22.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,149.1125,
2025-06-11,Albion,3,6.0,15.0,1.0,0.0,19.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,169.5,
2025-06-25,Albion,1,4.0,11.0,2.0,0.0,18.0,32.0,6.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,7.0,6.0,1.0,230.4,11.877777778
2025-06-25,Albion,2,9.0,19.0,1.0,0.0,31.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,4.0,0.0,4.0,193.2,11.11319444
2025-06-25,Albion,3,7.0,17.0,2.0,0.0,25.0,51.0,3.0,0.0,0.0,1.0,0.0,0.0,79.0,1.0,11.0,10.0,1.0,205.85,10.70658228
2025-04-23,Brilliance,1,4.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,115.05,
2025-04-23,Brilliance,2,5.0,4.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,116.55,
2025-04-23,Brilliance,3,4.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,5.0,0.0,115.65,
2025-05-07,Brilliance,1,7.0,8.0,0.0,0.0,8.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,113.82,
2025-05-07,Brilliance,2,7.0,9.0,0.0,0.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,102.8,
2025-05-07,Brilliance,3,7.0,7.0,1.0,0.0,14.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,99.78333333,
2025-05-21,Brilliance,1,9.0,13.0,5.0,0.0,16.0,25.0,5.0,0.0,5.0,0.0,0.0,0.0,46.0,5.0,0.0,0.0,0.0,146.4571429,
